,ID,ID2,Geographic.Area.Name,PERCPOV,PERCWHT,PERCBLK,PERCVAC,PERC25K,PERC75K,PERCNOHS,pri_neigh
42,1.70E+11,1500000US170310203021,"Block Group 1, Census Tract 203.02, Cook County, Illinois",3.610108303,69.9375,17.875,0,27.87234043,41.27659574,10.81593928,West Ridge
43,1.70E+11,1500000US170310203022,"Block Group 2, Census Tract 203.02, Cook County, Illinois",10.28938907,39.28571429,8.928571429,17.27078891,13.40206186,57.21649485,3.094233474,West Ridge
44,1.70E+11,1500000US170310203023,"Block Group 3, Census Tract 203.02, Cook County, Illinois",8.210526316,77.84836934,5.590851334,9.014675052,19.47004608,39.97695853,4.230118443,West Ridge
45,1.70E+11,1500000US170310204001,"Block Group 1, Census Tract 204, Cook County, Illinois",0,71.64667394,2.39912759,7.575757576,3.005464481,35.79234973,15.69444444,
46,1.70E+11,1500000US170310204002,"Block Group 2, Census Tract 204, Cook County, Illinois",12.58064516,60.32843561,9.075194468,11.01398601,23.96856582,41.06090373,3.16027088,
47,1.70E+11,1500000US170310204003,"Block Group 3, Census Tract 204, Cook County, Illinois",14.17475728,44.41391941,39.60622711,9.604519774,11.75,30.375,13.71308017,
48,1.70E+11,1500000US170310205001,"Block Group 1, Census Tract 205, Cook County, Illinois",15.4373928,34.7107438,15.91807402,12.63269639,16.2818955,11.30012151,23.78435518,
49,1.70E+11,1500000US170310205002,"Block Group 2, Census Tract 205, Cook County, Illinois",13.13672922,29.09760589,9.576427256,15.54404145,13.08793456,21.47239264,16.75126904,West Ridge
50,1.70E+11,1500000US170310205003,"Block Group 3, Census Tract 205, Cook County, Illinois",11.63366337,31.79347826,10.38043478,6.765676568,52.03539823,9.026548673,54.32525952,
51,1.70E+11,1500000US170310205004,"Block Group 4, Census Tract 205, Cook County, Illinois",26,10.89866157,21.03250478,20.22058824,29.03225806,8.294930876,20.38369305,West Ridge
52,1.70E+11,1500000US170310206011,"Block Group 1, Census Tract 206.01, Cook County, Illinois",0,76.02693603,0,14.70113086,14.96212121,39.20454545,12.00716846,West Ridge
53,1.70E+11,1500000US170310206012,"Block Group 2, Census Tract 206.01, Cook County, Illinois",43.54657688,58.63874346,5.281129069,4.900181488,39.1221374,9.63740458,13.69533878,West Ridge
54,1.70E+11,1500000US170310206013,"Block Group 3, Census Tract 206.01, Cook County, Illinois",15.92920354,40.0309119,19.16537867,11.34259259,20.88772846,7.571801567,12.77777778,West Ridge
55,1.70E+11,1500000US170310206021,"Block Group 1, Census Tract 206.02, Cook County, Illinois",4.102564103,59.26294821,17.1314741,9.547738693,14.16666667,11.11111111,12.20735786,West Ridge
56,1.70E+11,1500000US170310206022,"Block Group 2, Census Tract 206.02, Cook County, Illinois",14.66666667,23.38222606,6.729939603,11.80124224,24.64788732,11.97183099,33.68263473,West Ridge
57,1.70E+11,1500000US170310206023,"Block Group 3, Census Tract 206.02, Cook County, Illinois",33.42391304,39.28380545,19.40138963,9.311740891,33.92857143,20.98214286,14.18650794,West Ridge
58,1.70E+11,1500000US170310206024,"Block Group 4, Census Tract 206.02, Cook County, Illinois",17.30769231,77.29138167,1.641586867,10.91445428,15.56291391,49.33774834,0.181488203,West Ridge
59,1.70E+11,1500000US170310207011,"Block Group 1, Census Tract 207.01, Cook County, Illinois",6.382978723,69.33760684,4.273504274,11.13924051,9.686609687,42.73504274,11.66666667,
60,1.70E+11,1500000US170310207012,"Block Group 2, Census Tract 207.01, Cook County, Illinois",2.371541502,72.68722467,5.947136564,8.683473389,6.748466258,56.13496933,4.215116279,
