Quarter,EMPBR,EMPCH,EMPMX,EMPSA,CRISISBR,CRISISCH,CRISISMX,CRISISSA,CABR,CACH,CAMX,CASA,INFBR,INFCH,INFMX,INFSA,GROWTHBR,GROWTHCH,GROWTHMX,GROWTHSA
Q3 2012,-0.391535147,-0.181469936,-0.300976387,-0.674678178,0,0,0,0,-1.442626643,-0.018013075,-0.225203948,-0.567108375,1.070745111,0.202502936,1.113901709,0.899742931,1.987847964,0.8649592,0.061559774,0.302110045
Q4 2012,0.074982994,-0.575288605,-0.303784946,-0.205800046,0,0,0,0,-2.096012131,-0.01149031,-0.338354377,-0.412114907,1.781289723,0.836667879,1.436135678,1.6985138,-0.305907369,1.753550806,-0.728377241,-0.157218943
Q1 2013,-0.145803429,0.379521005,-0.616120266,0.108018472,0,0,0,0,-2.063813957,-0.009408876,-0.331009409,-0.518491526,2.157773184,0.212441879,1.361523777,1.586638831,0.683853654,-0.473206941,-0.610457092,1.386792721
Q2 2013,0.348499923,-0.516811621,-0.11228202,0.690085533,0,0,0,0,-1.303941266,-0.009907023,-0.381431722,-0.429372397,1.402413991,0.01599936,0.474623876,1.315248664,2.513399597,2.190618573,-1.234238022,0.793776969
Q3 2013,0.261318428,-0.284884087,-0.414074005,-1.066282218,0,0,0,0,-1.63418213,-0.015188246,-0.272400248,-0.631201663,0.604148335,1.027794441,0.130196365,1.54158215,0.958078537,1.96378762,1.84962029,0.180123324
Q4 2013,0.632953306,0.519260297,-0.655036188,-0.067703492,0,0,0,0,-1.304124653,-0.010246869,-0.329731895,-0.307685736,1.559027613,1.033172354,1.643852063,0.838993208,0.881008173,0.673364501,-0.097921598,1.150418137
Q1 2014,0.080606763,0.053760945,-0.445699435,0.438341136,0,0,0,0,-2.094049205,-0.005156243,-0.344617891,-0.383253401,2.124723722,1.308623594,1.855946496,2.06022187,0.731858485,-0.39985817,0.480418151,-0.300817937
Q2 2014,-0.219183742,-0.280462808,-0.787493402,0.605744833,0,0,0,0,-1.407070087,-0.004581525,-0.326362894,-0.379160557,1.964028734,1.593378969,-0.075938914,2.01863354,-1.393506534,0.613001381,2.662915069,-1.018018039
Q3 2014,-0.081236845,0.666019251,-0.2142792,-0.1848328,0,0,0,0,-1.717692388,-0.006389737,-0.197964552,-0.431838776,0.78822058,0.879363508,0.671911726,1.293759513,1.195393641,1.10869666,0.399929547,0.624373001
Q4 2014,0.398057235,0.236140101,-0.065544309,-0.057505546,0,0,0,0,-2.004668703,-0.003672658,-0.250243288,-0.277417458,1.49111723,1.588679245,1.677984146,0.22539444,-0.292535556,0.887186706,0.099820727,1.194497237
Q1 2015,-0.063475101,0.991976324,0.018405599,0.939523757,0,0,0,0,-1.729789488,-0.001034532,-0.334261962,-0.306090709,3.21999289,0.248876342,0.766780122,0.59970015,-2.097389796,1.216753293,-0.314942646,1.665943291
Q2 2015,-0.391680663,0.45386227,0.446243656,-0.174586124,0,0,0,0,-0.865004028,-0.002561826,-0.295791104,-0.128178915,2.774191482,1.404327849,-0.202991273,2.309985097,-2.932294306,0.852052235,2.867580423,-0.851283246
Q3 2015,-0.323320497,0.943564848,1.4424624,0.219887832,0,0,1,0,-0.746341065,-0.009132311,-0.298394936,-0.395916486,1.727687735,1.42872803,0.357111279,1.347414421,-0.513660996,-1.021556233,1.654270473,-0.033842002
Q4 2015,-0.330968456,0.135431737,0.466935263,-0.073625087,0,0,0,0,-0.507612864,-0.006091289,-0.265438779,-0.284185815,2.265150285,0.958282297,1.340642991,0.467121811,-1.38973563,0.621839428,-0.747862707,1.45833867
Q1 2016,-0.185714815,-0.560635212,0.193162147,-0.226243315,0,0,0,0,-0.599777453,-0.001696044,-0.321369175,-0.284090632,3.017026017,0.781473023,1.179967225,2.288984263,-1.85844412,1.191816272,0.614615052,0.476727873
